set	path	rc	ms_parallel8	bytes	lines	err
program	tsc/internal/bundled/libs/lib.es2021.d.ts	0	17	997	13	
program	tsc/internal/bundled/libs/lib.es2021.full.d.ts	0	15	1035	15	
program	tsc/internal/bundled/libs/lib.es2021.intl.d.ts	0	14	8206	893	
program	tsc/internal/bundled/libs/lib.es2021.promise.d.ts	0	15	2223	230	
program	tsc/internal/bundled/libs/lib.es2021.string.d.ts	0	40	1553	98	
program	tsc/internal/bundled/libs/lib.es2021.weakref.d.ts	0	38	3132	289	
program	tsc/internal/bundled/libs/lib.es2022.array.d.ts	0	15	4637	554	
program	tsc/internal/bundled/libs/lib.es2022.d.ts	0	36	1069	17	
program	tsc/internal/bundled/libs/lib.es2022.error.d.ts	0	24	2340	503	
program	tsc/internal/bundled/libs/lib.es2022.full.d.ts	0	40	1035	15	
program	tsc/internal/bundled/libs/lib.es2022.intl.d.ts	0	43	7653	479	
program	tsc/internal/bundled/libs/lib.es2022.object.d.ts	0	30	1046	38	
program	tsc/internal/bundled/libs/lib.es2022.regexp.d.ts	0	30	1304	99	
program	tsc/internal/bundled/libs/lib.es2022.string.d.ts	0	24	1116	36	
program	tsc/internal/bundled/libs/lib.es2023.array.d.ts	0	56	40197	4124	
program	tsc/internal/bundled/libs/lib.es2023.collection.d.ts	0	25	861	18	
program	tsc/internal/bundled/libs/lib.es2023.d.ts	0	35	960	11	
program	tsc/internal/bundled/libs/lib.es2023.full.d.ts	0	40	1035	15	
program	tsc/internal/bundled/libs/lib.es2023.intl.d.ts	0	38	2854	792	
program	tsc/internal/bundled/libs/lib.es2024.arraybuffer.d.ts	0	49	2598	145	
program	tsc/internal/bundled/libs/lib.es2024.collection.d.ts	0	44	1185	84	
program	tsc/internal/bundled/libs/lib.es2024.d.ts	0	40	1127	19	
program	tsc/internal/bundled/libs/lib.es2024.full.d.ts	0	34	1035	15	
program	tsc/internal/bundled/libs/lib.es2024.object.d.ts	0	33	1220	94	
program	tsc/internal/bundled/libs/lib.es2024.promise.d.ts	0	23	1350	111	
program	tsc/internal/bundled/libs/lib.es2024.regexp.d.ts	0	27	1034	20	
program	tsc/internal/bundled/libs/lib.es2024.sharedmemory.d.ts	0	26	3038	330	
program	tsc/internal/bundled/libs/lib.es2024.string.d.ts	0	18	1155	34	
program	tsc/internal/bundled/libs/lib.es2025.collection.d.ts	0	20	3839	576	
program	tsc/internal/bundled/libs/lib.es2025.d.ts	0	29	1079	17	
program	tsc/internal/bundled/libs/lib.es2025.float16.d.ts	0	24	20489	2259	
program	tsc/internal/bundled/libs/lib.es2025.full.d.ts	0	26	1035	15	
