path	line	callee	receiver_type	impls_of_pair	class
crates/mbe/src/expander/matcher.rs	308	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/mbe/src/expander/matcher.rs	443	push	-norow-	0	9 free fn / bare name / struct literal
crates/mbe/src/expander/transcriber.rs	20	ExpandError::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/mbe/src/lib.rs	121	write_str	Formatter	0	3b receiver type undeclared in corpus (std/external)
crates/parser/src/frontmatter.rs	202	clone	Span	0	5 corpus struct/enum, method from an external trait or a Deref
crates/parser/src/frontmatter.rs	348	fmt	String	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/parser/src/lexed_str.rs	309	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/parser/src/output.rs	100	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/parser/src/shortcuts.rs	286	starts_with	str	0	3b receiver type undeclared in corpus (std/external)
crates/parser/src/tests.rs	48	String::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/proc-macro-api/src/legacy_protocol/msg.rs	337	TextRange::empty	-norow-	0	10 `T::f()`, T external or an alias
crates/proc-macro-api/src/legacy_protocol/msg/flat.rs	669	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/proc-macro-api/src/transport/postcard.rs	25	io::Error::new	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/proc-macro-srv/src/tests/utils.rs	61	SpanId	-norow-	0	9 free fn / bare name / struct literal
crates/proc-macro-srv/src/token_stream.rs	265	derive_ranged	S	0	6 receiver type is a corpus TRAIT (dyn/impl/bound)
crates/project-model/src/cargo_workspace.rs	438	insert	CargoFeatures	0	5 corpus struct/enum, method from an external trait or a Deref
crates/project-model/src/cargo_workspace.rs	668	to_path_buf	ManifestPath	0	5 corpus struct/enum, method from an external trait or a Deref
crates/project-model/src/env.rs	72	as_ref	CargoConfigFile	0	5 corpus struct/enum, method from an external trait or a Deref
crates/project-model/src/sysroot.rs	142	map	AbsPathBuf	0	5 corpus struct/enum, method from an external trait or a Deref
crates/project-model/src/sysroot.rs	278	stitched::Stitched	-norow-	0	11 module-qualified path `mod::f()`
crates/project-model/src/sysroot.rs	447	Utf8PathBuf::from	-norow-	0	10 `T::f()`, T external or an alias
crates/project-model/src/workspace.rs	266	clone	ManifestPath	0	5 corpus struct/enum, method from an external trait or a Deref
crates/project-model/src/workspace.rs	997	clone	TargetLoadResult	0	3a receiver type is a corpus ALIAS to an external type
crates/rust-analyzer/src/cli/lsif.rs	60	FxHashMap::default	-norow-	0	10 `T::f()`, T external or an alias
crates/rust-analyzer/src/cli/run_tests.rs	89	extend	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/rust-analyzer/src/cli/scip.rs	206	Default::default	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/rust-analyzer/src/cli/scip.rs	208	Default::default	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/rust-analyzer/src/config.rs	2258	iter	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/rust-analyzer/src/config.rs	3736	len	str	0	3b receiver type undeclared in corpus (std/external)
crates/rust-analyzer/src/diagnostics.rs	97	extend	FxHashSet	0	3a receiver type is a corpus ALIAS to an external type
crates/rust-analyzer/src/flycheck.rs	687	take	Receiver	0	3b receiver type undeclared in corpus (std/external)
crates/rust-analyzer/src/global_state.rs	378	insert	FxHashMap	0	3b receiver type undeclared in corpus (std/external)
crates/rust-analyzer/src/handlers/notification.rs	251	ConfigChange::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
