path	line	callee	receiver_type	impls_of_pair	class
crates/hir-ty/src/next_solver/infer/canonical/instantiate.rs	427	PredicateObligations::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/next_solver/infer/canonical/mod.rs	71	universe	InferCtxt	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/next_solver/infer/mod.rs	548	evaluate_obligations_error_on_ambiguity	InferCtxtInner	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/next_solver/infer/opaque_types/table.rs	106	iter	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/next_solver/infer/relate/generalize.rs	107	register_predicates	R	0	6b generic param name (T, S, R)
crates/hir-ty/src/next_solver/infer/relate/generalize.rs	363	relate	Generalizer	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-ty/src/next_solver/interner.rs	375	tls_cache::reinit_cache	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-ty/src/next_solver/interner.rs	771	TypeFlags::empty	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-ty/src/next_solver/interner.rs	1959	Region::new_bound	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-ty/src/next_solver/ir_print.rs	37	def_id	AliasTerm	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/next_solver/normalize.rs	173	try_super_fold_with	Binder	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/next_solver/predicate.rs	882	skip_binder	Binder	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-ty/src/test_db.rs	86	set_file_text	TestDB	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-ty/src/tests.rs	236	salsa::attach	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-ty/src/tests.rs	385	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir/src/attrs.rs	439	BuiltinType::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir/src/lib.rs	363	cfg_options	Crate	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir/src/lib.rs	776	extend	Vec	0	3a receiver type is a corpus ALIAS to an external type
crates/hir/src/lib.rs	1261	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir/src/lib.rs	3968	as_slice	GenericArgs	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir/src/lib.rs	5769	into	TraitId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir/src/lib.rs	6479	EarlyBinder::bind	-norow-	0	10 `T::f()`, T external or an alias
crates/hir/src/lib.rs	7234	name	Param	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir/src/semantics.rs	1537	token_at_offset	SyntaxNode	0	3a receiver type is a corpus ALIAS to an external type
crates/hir/src/semantics.rs	2354	borrow	RefCell	0	3b receiver type undeclared in corpus (std/external)
crates/hir/src/semantics/child_by_source.rs	108	AttrDefId::from	-norow-	0	8 `T::f()`, T a corpus struct/enum
