NewUniqueNameEx	direct	1	n	289:tx.outerThis = tx.Factory().NewUniqueNameEx("_outerThis", printer.AutoGenerateOptions{ || 465:return tx.Factory().NewUniqueNameEx( || 487:metadataReference: f.NewUniqueNameEx("_metadata", printer.AutoGenerateOptions{
loadModuleFromTargetExportOrImport$2	closure	0	n	
ReadFile	direct	18	n	57:func (vfs *wrappedFS) ReadFile(path string) (contents string, ok bool) { || 62:return vfs.fs.ReadFile(path)
VisitEachChild	direct	170	y	117:node = tx.Visitor().VisitEachChild(node) || 134:node = tx.Visitor().VisitEachChild(node) || 351:node = tx.Visitor().VisitEachChild(node.AsNode()).AsEnumDeclaration()
ParseOptions	direct	1	n	409:ParseOptions:               task.file.ParseOptions(), || 455:ParseOptions:               file.ParseOptions(),
allKeysStartWithDot$1	closure	0	n	
Text	direct	12	y	1438:ast.GetSymbolTable(&c.patternAmbientModuleAugmentations)[moduleName.Text()] = merged || 1453:c.error(moduleName, diagnostics.Cannot_augment_module_0_because_it_resolves_to_a_non_module_entity, moduleName || 1539:if !ast.IsIdentifier(errorLocation) || errorLocation.Text() != name || isTypeReferenceIdentifier(errorLocation
Name	direct	57	y	94:} else if node.Parent.Kind == ast.KindImportClause && node.Parent.AsImportClause().Name() == node { || 111:name := clause.Name() || 126:if importClause.Name() != nil {
QuietDiagnosticReporter	direct	0	n	
PostfixToken	direct	1	n	657:if node.PostfixToken() != nil { || 661:Value: scanner.TokenToString(node.PostfixToken().Kind), || 683:if node.PostfixToken() != nil {
GetLocale	direct	3	n	120:diagnosticLocale = c.builder.client.GetLocale()
Visitor	direct	1	n	175:node = tx.Visitor().VisitEachChild(node) || 413:return tx.Visitor().VisitNode(node.Expression) || 696:return tx.Visitor().VisitNode(tx.Factory().NewImportStarHelper(innerExpr))
Options	direct	5	y	595:addAsTypeOnly := getAddAsTypeOnly(isValidTypeOnlyUseSite, export, v.program.Options()) || 713:addAsTypeOnly := getAddAsTypeOnly(isValidTypeOnlyUseSite, export, v.program.Options()) || 802:if program.Options().VerbatimModuleSyntax.IsTrue() && program.GetEmitModuleFormatOfFile(importingFile) == core
Text	direct	12	y	88:c.regExpScanner.SetText(sourceFile.Text()) || 113:return c.grammarErrorOnNode(privIdAsNode, diagnostics.Cannot_find_name_0, privId.Text) || 681:end := scanner.SkipTrivia(file.Text(), typeParameters.End()) + len(">")
Path	direct	8	y	129:dirtyFile           tspath.Path || 162:func (b BucketState) DirtyFile() tspath.Path { || 180:func (b BucketState) possiblyNeedsRebuildForFile(file tspath.Path, preferences lsutil.UserPreferences) bool {
compareDir$2	closure	0	n	
getMembersOfSymbol	direct	1	n	95:copySymbols(c.getMembersOfSymbol(c.getSymbolOfDeclaration(location)), meaning&ast.SymbolFlagsType) || 502:propertySymbol := c.getSymbol(c.getMembersOfSymbol(classDeclaration.Symbol()), parameterName, ast.SymbolFlagsV
scanNumberFragment$1	closure	0	n	
recordPotentialCollisionWithWeakMapSetInGeneratedCode$1	closure	0	n	
createGetSymbolAccessibilityDiagnosticForNode$4	closure	0	n	
GetNormalizedAbsolutePath	direct	0	n	127:fileName := tspath.GetNormalizedAbsolutePath(file.UnitName, currentDirectory) || 165:compilerOptions.OutDir = tspath.GetNormalizedAbsolutePath(compilerOptions.OutDir, currentDirectory) || 168:compilerOptions.Project = tspath.GetNormalizedAbsolutePath(compilerOptions.Project, currentDirectory)
ContentMapperProject	direct	5	n	360:if contentMapperProject := project.Program.ContentMapperProject(); contentMapperProject != nil { || 1226:contentMapperProject := project.host.ContentMapperProject()
getNodeVisitor$1	closure	0	n	
AsTypeAliasDeclaration	direct	1	n	1814:p.emitTypeAliasDeclaration(node.AsTypeAliasDeclaration()) || 4205:p.emitTypeAliasDeclaration(node.AsTypeAliasDeclaration())
disposeCheckerLocked	direct	1	n	352:p.disposeCheckerLocked(index, c) || 449:p.disposeCheckerLocked(i, c) || 460:func (p *checkerPool) disposeCheckerLocked(index int, c *checker.Checker) {
elaborateError	direct	1	n	454:elaborated := next != nil && c.elaborateError(next, sourcePropType, targetPropType, relation, nil /*headMessag
Realpath	direct	11	n	1882:rp := tspath.NormalizePath(r.resolver.host.FS().Realpath(path)) || 2242:if realPath := r.host.FS().Realpath(fileName); realPath != fileName {
