budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	200	12000	10	pg_ivm	delete_batch	3	10	10	110	1606	1.057125	0.914125	1.102250	0.651709	0.597625	0.659416	1.716541	1.511750	1.753959	0.334583	0.097250
constrained	200	12000	10	pg_ivm	dimension_fanout	3	1	200	110	1607	0.831542	0.774375	0.834709	0.717083	0.607625	0.783708	1.491458	1.439167	1.618417	0.295708	0.098875
constrained	200	12000	10	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.948333	0.851750	0.957417	0.948333	0.851750	0.957417	0.547834	0.232750
constrained	200	12000	10	pg_ivm	insert_batch	3	10	10	110	1606	1.122125	1.042417	1.278375	0.763917	0.737000	0.790500	1.859125	1.806334	2.068875	0.567292	0.092708
constrained	200	12000	10	pg_ivm	update_batch	3	10	10	110	1606	1.173959	1.122292	9.149583	0.677333	0.653459	0.717875	1.827418	1.799625	9.867458	0.334792	0.083792
constrained	200	12000	10	query	delete_batch	3	10	10	110	1606	0.279334	0.255834	0.863334	2.654458	2.320875	3.053292	2.910292	2.600209	3.916626	0.394417	0.097959
constrained	200	12000	10	query	dimension_fanout	3	1	200	110	1607	0.261500	0.259416	0.266417	2.676250	2.275584	2.718500	2.935666	2.537084	2.984917	0.351292	0.127916
constrained	200	12000	10	query	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	2.763916	2.697250	2.825334	2.763916	2.697250	2.825334	0.563958	0.244792
constrained	200	12000	10	query	insert_batch	3	10	10	110	1606	0.454709	0.353250	0.605292	2.497209	2.380250	2.549791	2.903041	2.834959	3.102501	0.512166	0.103875
constrained	200	12000	10	query	update_batch	3	10	10	110	1606	0.371666	0.254208	0.597958	3.157584	2.301334	6.166333	3.755542	2.555542	6.537999	0.459125	0.107834
constrained	200	12000	100	pg_ivm	delete_batch	3	100	100	110	1606	1.723542	1.412667	1.803500	0.779125	0.618292	1.210333	2.582625	2.030959	2.933875	0.474708	0.105458
constrained	200	12000	100	pg_ivm	dimension_fanout	3	1	200	110	1606	0.830833	0.757000	0.981458	0.676417	0.613500	0.773625	1.604458	1.370500	1.657875	0.307666	0.107125
constrained	200	12000	100	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.798500	0.770042	0.935959	0.798500	0.770042	0.935959	0.531625	0.212625
constrained	200	12000	100	pg_ivm	insert_batch	3	100	100	110	1606	2.466500	2.329875	2.632625	0.676583	0.584833	0.884667	3.143083	2.914708	3.517292	0.503500	0.097667
constrained	200	12000	100	pg_ivm	update_batch	3	100	100	110	1605	2.916416	2.750458	3.758125	0.769500	0.700000	0.934791	3.851207	3.450458	4.527625	0.380125	0.089375
constrained	200	12000	100	query	delete_batch	3	100	100	110	1606	0.301666	0.283500	0.376417	2.417208	2.312167	2.698542	2.700708	2.688584	3.000208	0.427333	0.093791
constrained	200	12000	100	query	dimension_fanout	3	1	200	110	1606	0.226916	0.192041	0.365750	2.378084	2.370291	2.437833	2.664749	2.562332	2.743834	0.388542	0.111333
constrained	200	12000	100	query	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	2.731084	2.613625	2.986709	2.731084	2.613625	2.986709	0.537208	0.230792
constrained	200	12000	100	query	insert_batch	3	100	100	110	1606	0.848500	0.725667	0.960750	2.486166	2.338834	2.563792	3.334666	3.064501	3.524542	0.670917	0.108708
constrained	200	12000	100	query	update_batch	3	100	100	110	1605	0.705500	0.658458	0.848125	2.354375	2.345167	2.528250	3.193292	3.012833	3.233750	0.356083	0.086042
constrained	200	12000	1000	pg_ivm	delete_batch	3	1000	1000	110	1598	1.965666	1.963208	2.097500	0.693833	0.582083	0.749625	2.712833	2.547749	2.791333	0.383000	0.081958
constrained	200	12000	1000	pg_ivm	dimension_fanout	3	1	200	110	1595	0.887458	0.826625	0.899625	0.667291	0.634666	0.698083	1.534291	1.493916	1.585541	0.339208	0.122209
constrained	200	12000	1000	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.956833	0.741250	1.022958	0.956833	0.741250	1.022958	0.663167	0.243625
constrained	200	12000	1000	pg_ivm	insert_batch	3	1000	1000	110	1603	5.973459	5.468250	26.195458	0.741166	0.636000	0.779375	6.714625	6.104250	26.974833	0.560334	0.095042
constrained	200	12000	1000	pg_ivm	update_batch	3	1000	1000	110	1594	7.432750	7.416667	9.137959	0.753583	0.742333	0.756958	8.186333	8.159000	9.894917	0.362792	0.097500
