cmd/tsgo/sys.go	childProcess	internal/contentmapper/hostimpl.go	processExitState
internal/api/proto.go	GetTypeOfSymbolAtLocationParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeOfSymbolAtLocationParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeOfSymbolAtLocationParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetTypeOfSymbolParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypeOfSymbolParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypeOfSymbolParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetTypePropertyParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypePropertyParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypePropertyParams	internal/api/proto.go	TypeID
internal/api/proto.go	GetTypesAtPositionsParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetTypesAtPositionsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypesAtPositionsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypesOfSymbolsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetTypesOfSymbolsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetTypesOfSymbolsParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetWidenedTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetWidenedTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetWidenedTypeParams	internal/api/proto.go	TypeID
internal/api/proto.go	ImportAdderAction	internal/api/proto.go	ImportAdderActionKind
internal/api/proto.go	ImportAdderAction	internal/api/proto.go	SymbolID
internal/api/proto.go	IndexInfoResponse	internal/api/proto.go	NodeHandle
internal/api/proto.go	IndexInfoResponse	internal/api/proto.go	TypeResponse
internal/api/proto.go	IsArrayLikeTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	IsArrayLikeTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	IsArrayLikeTypeParams	internal/api/proto.go	TypeID
