cli:check	ts:v6/tsv2/cli/bop.ts#check	bridge
pl:v6/prolog/0_type_plane.pl#column_storage/3	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#declared_type_name/2	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#escape_json_codes/2	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#relation_columns_and_types/5	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#relation_value_object/4	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#relation_value_shape/3	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_canonical_json/4	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_cycle_witness/2	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_definition/4	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_definitions/2	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_field_values/4	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#type_topological_order/2	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/0_type_plane.pl#world_row_shape_violation/3	pl:v6/prolog/0_type_plane.pl#module	resides
pl:v6/prolog/1_expansion.pl#expand_program/3	pl:v6/prolog/0_enum_expand.pl#enum_context/2	calls
pl:v6/prolog/1_expansion.pl#expand_program/3	pl:v6/prolog/1_expansion.pl#module	resides
pl:v6/prolog/1_expansion.pl#module	pl:v6/prolog/0_enum_expand.pl#enum_context/2	calls
pl:v6/prolog/1_host_expand.pl#body_goals/2	pl:v6/prolog/0_body_walk.pl#body_conjunction_goals/3	calls
pl:v6/prolog/1_host_expand.pl#compile_host_decl/2	pl:v6/prolog/1_host_expand.pl#module	resides
pl:v6/prolog/1_host_expand.pl#compile_host_decl/2	pl:v6/prolog/compile/registry.pl#host_input_roles/3	calls
pl:v6/prolog/1_host_expand.pl#module	pl:v6/prolog/0_body_walk.pl#body_conjunction_goals/3	calls
pl:v6/prolog/1_host_expand.pl#module	pl:v6/prolog/compile/registry.pl#bind_definition/2	calls
pl:v6/prolog/1_host_expand.pl#module	pl:v6/prolog/compile/registry.pl#host_execution/3	calls
pl:v6/prolog/1_host_expand.pl#module	pl:v6/prolog/compile/registry.pl#host_executor_contract/2	calls
pl:v6/prolog/1_host_expand.pl#module	pl:v6/prolog/compile/registry.pl#host_input_roles/3	calls
pl:v6/prolog/1_host_expand.pl#prepare_program/5	pl:v6/prolog/1_host_expand.pl#module	resides
pl:v6/prolog/1_host_expand.pl#rule_head_ref/2	pl:v6/prolog/1_host_expand.pl#module	resides
pl:v6/prolog/1_host_expand.pl#validate_bind_decl/3	pl:v6/prolog/compile/registry.pl#bind_definition/2	calls
pl:v6/prolog/1_host_expand.pl#validate_host_executor/3	pl:v6/prolog/compile/registry.pl#host_execution/3	calls
pl:v6/prolog/1_host_expand.pl#validate_host_executor/3	pl:v6/prolog/compile/registry.pl#host_executor_contract/2	calls
pl:v6/prolog/compile/1_emit_registry_docs.pl#generated_cli_table/1	pl:v6/prolog/compile/registry.pl#cli_command/3	calls
pl:v6/prolog/compile/1_emit_registry_docs.pl#generated_table/1	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/compile/1_emit_registry_docs.pl#module	pl:v6/prolog/compile/registry.pl#cli_command/3	calls
pl:v6/prolog/compile/1_emit_registry_docs.pl#module	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/compile/1_emit_registry_docs.pl#registry_word_regex/2	pl:v6/prolog/compile/registry.pl#surface/5	calls
pl:v6/prolog/compile/2_emit_cli_inventory.pl#cli_inventory_text/1	pl:v6/prolog/compile/registry.pl#cli_command/3	calls
pl:v6/prolog/compile/2_emit_cli_inventory.pl#cli_inventory_text/1	pl:v6/prolog/compile/registry.pl#http_route/3	calls
