budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	4	24	3	dd	diamond_path_retract	3	1		4	24	0.011958	0.011833	0.012708	0.000083	0.000083	0.000083	0.012041	0.011916	0.012791		
constrained	4	24	3	dd	diamond_path_retract	3	1		4	24	0.012250	0.011584	0.012500	0.000083	0.000042	0.000084	0.012292	0.011668	0.012583		
constrained	4	24	3	dd	duplicate_support	3	1		13	78	0.017042	0.016792	0.018000	0.000375	0.000334	0.000458	0.017417	0.017126	0.018458		
constrained	4	24	3	dd	duplicate_support	3	1		25	155	0.020500	0.020209	0.020750	0.000625	0.000541	0.000625	0.021125	0.020750	0.021375		
constrained	4	24	3	dd	duplicate_support	3	1		24	155	0.022167	0.021584	0.023625	0.000542	0.000500	0.000542	0.022709	0.022084	0.024167		
constrained	4	24	3	dd	duplicate_support	3	1		17	106	0.030708	0.030167	0.035125	0.000583	0.000541	0.000584	0.031249	0.030750	0.035709		
constrained	4	24	3	dd	duplicate_support	3	1		56	366	0.035375	0.035000	0.036000	0.001125	0.001125	0.001167	0.036500	0.036125	0.037167		
constrained	4	24	3	dd	duplicate_support	3	1		25	150	0.038625	0.038542	0.239625	0.000584	0.000541	0.000958	0.039209	0.039083	0.240583		
constrained	4	24	3	dd	duplicate_support	3	1		50	307	0.032875	0.031167	0.066167	0.001083	0.000959	0.001084	0.033959	0.032126	0.067250		
constrained	4	24	3	dd	duplicate_support	3	1		17	111	0.037333	0.033834	0.085208	0.000584	0.000500	0.000791	0.037917	0.034334	0.085999		
constrained	4	24	3	dd	duplicate_support	3	1		8	51	0.037042	0.035083	0.042542	0.000250	0.000250	0.000250	0.037292	0.035333	0.042792		
constrained	4	24	3	dd	duplicate_support	3	1		4	33	0.036959	0.036542	0.038916	0.000084	0.000042	0.000084	0.037043	0.036584	0.039000		
constrained	4	24	3	dd	duplicate_support	3	1		7	31	0.073416	0.071333	0.073917	0.000209	0.000166	0.000292	0.073625	0.071499	0.074209		
constrained	4	24	3	dd	duplicate_support	3	1		6	65	0.030250	0.029667	0.030292	0.000208	0.000167	0.000208	0.030458	0.029834	0.030500		
constrained	4	24	3	dd	duplicate_support	3	1		6	36	0.026875	0.026625	0.027541	0.000208	0.000167	0.000250	0.027042	0.026875	0.027749		
constrained	4	24	3	dd	duplicate_support	3	1		29	189	0.022792	0.022750	0.025084	0.000584	0.000583	0.000625	0.023417	0.023333	0.025668		
constrained	4	24	3	dd	duplicate_support	3	1		22	142	0.037208	0.037041	0.037583	0.000583	0.000583	0.000584	0.037791	0.037624	0.038167		
constrained	4	24	3	dd	duplicate_support	3	1		2	13	0.037875	0.035667	0.044000	0.000125	0.000041	0.000125	0.038000	0.035792	0.044041		
