unmarked_edge_replays_backlog	runtime-error
unmarked_first_stage_refires_on_late_watch	unsupported
unordered_program_level_fold_reaches_three_links	runtime-error
unsubscribe_is_a_named_unsupported	unsupported
unwrap_aggregate_and_interpolation	clean
unwrap_below_budget_silent	clean
unwrap_unchanged_file_silent	clean
variant_field_bool_stays_bool	clean
variant_field_float_stays_float	clean
variant_field_int_and_text_unchanged	diff
variant_field_typed_as_json_stays_json	clean
variant_field_typed_as_struct_is_a_ref	diff
waiver_range_join_exact_rows	clean
wide_int_refused_at_undeclared_column	unsupported
wide_int_refused_inside_json_document	unsupported
worktree_edit_identical_resave_is_silent	runtime-error
worktree_edit_replaces_digest_and_flips_kind_view	runtime-error
world_fed_keyed_arrival_replaces	diff
wrong_element_type_is_refused	unsupported
xref_rev_is_pin_data_not_live_head	runtime-error
zip_is_a_named_unsupported	unsupported
zombie_scope_negative_case_a2b	diff
